service_name,country_code,availability_type,title_count,unique_titles
Claro video,AR,subscription,17,17
Claro video,BR,subscription,105,78
Claro video,CL,subscription,55,55
Claro video,CO,subscription,52,52
Claro video,MX,subscription,350,261
Club Illico,CA,subscription,251,209
CN Rewind Amazon Channel,IN,subscription,27,27
Cocina ON Amazon Channel,US,subscription,2,1
Cohen Media Amazon Channel,US,subscription,7,7
Comedy Central Plus Amazon Channel,DE,subscription,18,10
Crave,CA,subscription,821,821
Crave,CA,free,1,1
Crave Amazon Channel,CA,subscription,1242,1017
Crime+ Investigation Play Amazon Channel,GB,subscription,8,5
Crime+Investigation Play Amazon Channel ,DE,subscription,5,3
Crime+Investigation Play Apple TV Channel,DE,subscription,5,3
Criterion Channel,CA,subscription,113,113
Criterion Channel,US,subscription,116,115
Crunchyroll,AR,subscription,1618,1618
Crunchyroll,AT,subscription,8,7
Crunchyroll,AU,subscription,2053,1399
Crunchyroll,AU,ads,1,1
Crunchyroll,BE,subscription,6,6
Crunchyroll,BR,subscription,2065,1401
Crunchyroll,BR,ads,2,2
Crunchyroll,CA,subscription,2326,1594
Crunchyroll,CA,ads,2,2
Crunchyroll,CH,subscription,1501,1501
Crunchyroll,CL,subscription,10,10
Crunchyroll,CO,subscription,10,10
Crunchyroll,DE,subscription,2012,1457
Crunchyroll,DK,subscription,1410,1410
Crunchyroll,ES,subscription,1861,1319
Crunchyroll,ES,ads,3,3
Crunchyroll,FI,subscription,8,8
Crunchyroll,FR,subscription,1885,1336
Crunchyroll,FR,ads,2,2
Crunchyroll,GB,subscription,2042,1384
Crunchyroll,GB,ads,1,1
Crunchyroll,ID,subscription,1173,1173
Crunchyroll,IE,subscription,1577,1577
Crunchyroll,IN,subscription,1172,770
Crunchyroll,IN,ads,1,1
Crunchyroll,IT,subscription,1637,1096
Crunchyroll,IT,ads,1,1
Crunchyroll,KR,subscription,1053,1053
Crunchyroll,KR,ads,151,151
Crunchyroll,MX,subscription,2059,1398
Crunchyroll,MX,ads,1,1
Crunchyroll,NL,subscription,1195,1195
Crunchyroll,NO,subscription,553,553
Crunchyroll,NZ,subscription,1362,1362
Crunchyroll,PH,subscription,247,247
Crunchyroll,PL,subscription,1075,1075
Crunchyroll,PT,subscription,1264,1264
Crunchyroll,SE,subscription,1237,1236
Crunchyroll,SG,subscription,1179,1179
Crunchyroll,TH,subscription,1324,1324
Crunchyroll,TR,subscription,1439,1439
Crunchyroll,TW,subscription,175,175
Crunchyroll,US,subscription,2353,1620
Crunchyroll,US,ads,2,2
CTV,CA,ads,262,262
CTV,CA,subscription,54,54
Cultpix,AR,subscription,1,1
Cultpix,AT,subscription,1,1
Cultpix,AU,subscription,16,16
Cultpix,AU,free,2,2
Cultpix,BE,subscription,1,1
Cultpix,BR,subscription,16,16
Cultpix,BR,free,2,2
Cultpix,CA,subscription,19,19
Cultpix,CA,free,2,2
Cultpix,CH,subscription,1,1
Cultpix,CL,subscription,1,1
Cultpix,CO,subscription,1,1
Cultpix,DE,subscription,16,16
Cultpix,DE,free,2,2
Cultpix,DK,subscription,2,2
Cultpix,ES,subscription,16,16
Cultpix,ES,free,2,2
Cultpix,FI,subscription,2,2
Cultpix,FR,subscription,16,16
Cultpix,FR,free,2,2
Cultpix,GB,subscription,16,16
Cultpix,GB,free,2,2
Cultpix,IE,subscription,1,1
Cultpix,IN,subscription,1,1
Cultpix,IT,subscription,16,16
Cultpix,IT,free,2,2
Cultpix,JP,subscription,16,16
Cultpix,JP,free,2,2
Cultpix,KR,subscription,16,16
Cultpix,KR,free,2,2
Cultpix,MX,subscription,19,19
Cultpix,MX,free,2,2
Cultpix,NL,subscription,1,1
Cultpix,NO,subscription,2,2
Cultpix,NZ,subscription,1,1
Cultpix,PH,subscription,1,1
Cultpix,PL,subscription,1,1
Cultpix,PT,subscription,1,1
Cultpix,SE,subscription,2,2
Cultpix,SG,subscription,1,1
Cultpix,TH,subscription,1,1
Cultpix,US,subscription,18,18
Cultpix,US,free,2,2
Curiosity Stream,AR,subscription,1,1
Curiosity Stream,AT,subscription,1,1
Curiosity Stream,AU,subscription,2,1
Curiosity Stream,BE,subscription,1,1
Curiosity Stream,BR,subscription,2,1
Curiosity Stream,CA,subscription,8,6
Curiosity Stream,CL,subscription,1,1
Curiosity Stream,CO,subscription,1,1
Curiosity Stream,DE,subscription,8,6
Curiosity Stream,ES,subscription,2,1
Curiosity Stream,FI,subscription,1,1
Curiosity Stream,GB,subscription,2,1
Curiosity Stream,IN,subscription,1,1
Curiosity Stream,JP,subscription,2,1
Curiosity Stream,KR,subscription,2,1
Curiosity Stream,MX,subscription,2,1
Curiosity Stream,NO,subscription,1,1
Curiosity Stream,PL,subscription,1,1
Curiosity Stream,US,subscription,8,6
CuriosityStream Amazon Channel,GB,subscription,3,2
CuriosityStream Apple TV Channel,GB,subscription,3,2
CuriosityStream Apple TV Channel,US,subscription,11,8
CurtaOn Amazon Channel,BR,subscription,2,2
Curzon Amazon Channel,GB,subscription,25,25
dAnime Amazon Channel,JP,subscription,1749,1021
Darkroom,US,free,45,45
Darkroom,US,subscription,5,5
Dekkoo,AU,subscription,1,1
Dekkoo,BR,subscription,1,1
Dekkoo,CA,subscription,5,5
Dekkoo,DE,subscription,1,1
Dekkoo,ES,subscription,1,1
Dekkoo,FR,subscription,4,4
Dekkoo,GB,subscription,5,5
Dekkoo,IE,subscription,1,1
Dekkoo,IT,subscription,1,1
Dekkoo,JP,subscription,1,1
Dekkoo,KR,subscription,1,1
Dekkoo,MX,subscription,1,1
Dekkoo,US,subscription,5,5
Dekkoo Amazon Channel,US,subscription,4,4
Demand Africa Amazon Channel,US,subscription,1,1
Diamond Films Amazon Channel,BR,subscription,83,82
Diamond Films Amazon Channel,CL,subscription,8,8
Diamond Films Amazon Channel,CO,subscription,8,8
Diamond Films Amazon Channel,MX,subscription,83,82
